CompanyName,Website,Industry,Sub-Industry,MarketSegment,AI_Functional_Category,CompanyDescription,LatestFundingDate,LatestFundingAmount,LatestFundingRound,CompanyTotalFunding,CompanyInvestors,CompanyExitDate,CompanyLatestValuation,CompanyFoundedYear,CompanyDataAdded,CompanyStatus,CompanyCompetitors,CompanyMarketCap,LocationContinent,LocationCountry,LocationState,LocationCity,LocationAddress,Notes
Curreio,curreio.com,unknown,unknown,unknown,Platforms - protein engineering,"Curreio is a biotechnology company focused on drug discovery using cryo-electron microscopy (Cryo-EM) in the pharmaceutical industry. The company specializes in high-resolution protein structure analysis to aid in the creation of new medications. Curreio's technology platform encompasses target protein expression, purification, structural analysis, and the integration of computational chemistry and AI to streamline the drug discovery process. It was founded in 2019 and is based in Tokyo, Japan.",3/22/23,1.96,Series A - II,5.08,unknown,unknown,0,2019,12/30/24,Alive / Active,unknown,0,Asia,Japan,unknown,Tokyo,5-chōme-18-20 Shinjuku Shinjuku City,unknown
Pando Bioscience,pando.bio,unknown,unknown,unknown,Platforms - protein engineering,"Pando Bioscience focuses on the discovery, optimization, and design of high-value biological molecules and systems. The company specializes in using generative artificial intelligence (AI) to enhance the production of active pharmaceutical ingredients (APIs) and to engineer proteins and pathways with improved properties. It primarily serves the biotechnology and pharmaceutical industries with its advanced AI-powered synthetic biology solutions. Pando Bioscience was formerly known as Forward Health. It was founded in 2023 and is based in Watertown, Massachusetts.",2/9/23,0.5,Convertible Note,9.35,unknown,unknown,15.35,2023,12/30/24,Alive / Active,"Carbon Health, Careful Online",0,North America,United States,Massachusetts,Watertown,134 Coolidge Avenue Suite 2,unknown
310 AI,310.ai,unknown,unknown,unknown,Platforms - protein engineering,"310 AI is a company focused on the development of generative AI engines for the field of programmable biology. Its main offerings include a foundational AI model for text-to-protein generation and a web-based chat platform for seamless biomolecule design, integrating both open-source and proprietary AI models. It was founded in 2022 and is based in San Francisco, California.",unknown,0,unknown,0,unknown,unknown,0,2022,12/30/24,Alive / Active,unknown,0,North America,United States,California,San Francisco,unknown,unknown
Micrographia Bio,micrographiabio.com,unknown,unknown,unknown,Platforms - protein engineering,"Micrographia Bio focuses on advancing drug discovery through spatial proteomics within the biotechnology sector. The company offers a platform that combines highly multiplexed microscopy imaging with machine vision and artificial intelligence to observe molecular interactions and aid in the development of new medicines. This technology primarily serves the pharmaceutical and healthcare industries by providing insights into the therapeutic mechanisms of action. It was founded in 2019 and is based in London, England.",11/18/21,0,Incubator/Accelerator - III,0.1,unknown,unknown,0,2019,12/30/24,Alive / Active,unknown,0,Europe,United Kingdom,England,London,Translation & Innovation Hub 84 Wood Lane,unknown
GDBspace,spacepeptides.com,unknown,unknown,unknown,Platforms - protein engineering,"GDBspace, also known as Space Peptides, is a peptide contract research organization (CRO) and contract development and manufacturing organization (CDMO) specializing in the pharmaceuticals sector. The company offers GMP grade peptide manufacturing, peptide drug discovery using AI, and custom peptide synthesis services. Space Peptides primarily serves the pharmaceuticals, agrochemicals, cosmetics, and material sciences industries with molecule orientation and innovation facilitation. It is based in Zug, Switzerland.",4/2/22,0,Series A,0,unknown,unknown,0,unknown,12/30/24,Alive / Active,unknown,0,Europe,Switzerland,unknown,Zug,Baarerstrasse 112,unknown
Westlake Omics,westlakeomics.com,unknown,unknown,unknown,Platforms - protein engineering,"Westlake Omics operates as an artificial intelligence  (AI)-empowered micro-world data company operating in the biotechnology sector. The company's main services include the use of proteomics and multimodal big data to aid in precision medicine and drug research and development. Westlake Omics primarily serves the healthcare and pharmaceutical industries. It was founded in 2020 and is based in Hangzhou, China.",1/13/22,0,Seed VC - II,0,unknown,unknown,0,2020,12/30/24,Alive / Active,unknown,0,Asia,China,Zhejiang ,Hangzhou,Number 1 Yunmeng Road Zhuantang,unknown
Proteic,proteic.ai,unknown,unknown,unknown,Platforms - protein engineering,"Proteic is a company specializing in the integration of generative AI with protein and peptide design within the biotechnology sector. Their main offerings include accelerating drug discovery processes, engineering therapeutic proteins, and developing vaccines and diagnostics through their proprietary AI platform. Proteic primarily serves the biotech and pharmaceutical industries, offering solutions that span from biosensor development to clinical trial acceleration. It was founded in 2021 and is based in Vancouver, British Columbia.",7/12/23,0,Incubator/Accelerator,0,unknown,unknown,0,2021,12/30/24,Alive / Active,unknown,0,North America,Canada,British Columbia,Vancouver,unknown,unknown
NonExomics,nonexomics.com,unknown,unknown,unknown,Platforms - protein engineering,"NonExomics is a company focused on medicinal genomics, specifically in the discovery and investigation of new proteins for disease treatment. The company uses a machine learning based platform to explore the entire human genome, transcriptome, and proteome, identifying and validating new proteins that can be targeted to cure various diseases. NonExomics primarily serves the healthcare and pharmaceutical industries. It was founded in 2016 and is based in Beverly, Massachusetts.",3/17/22,0,Seed,0,unknown,unknown,0,2016,12/30/24,Alive / Active,unknown,0,North America,United States,Massachusetts,Beverly,"100 Cummings Center, Suite 451C",unknown
Avenue Biosciences,avenuebiosciences.com,unknown,unknown,unknown,Platforms - protein engineering,"Avenue Biosciences engages in protein engineering within the biotechnology sector, with an emphasis on the production yield and quality of protein biologics. The company has a platform that employs machine learning to optimize protein expression systems, facilitating the production of complex proteins for therapeutic and biopharmaceutical applications. Avenue Biosciences serves the biotechnology and pharmaceutical industries, offering solutions related to the development of protein-based therapies and manufacturing efficiency. It was founded in 2023 and is based in Palo Alto, California.",10/22/24,2.5,Seed VC,2.5,unknown,unknown,0,2023,12/30/24,Alive / Active,unknown,0,North America,United States,California,Palo Alto,2627 Hanover Street,unknown
ZYTHERA,zythera.com,unknown,unknown,unknown,Platforms - protein engineering,"ZYTHERA focuses on developing advanced enzyme replacement therapies for lysosomal storage diseases within the biotechnology sector. The company utilizes generative AI to design and identify enzymes with optimal therapeutic properties, which are then produced using a patented mammalian expression system. ZYTHERA primarily serves the healthcare sector, particularly in the development of treatments for rare genetic disorders. It is based in Edinburgh, England.",6/15/23,0.09,Grant,0.09,unknown,unknown,0,unknown,12/30/24,Alive / Active,unknown,0,Europe,United Kingdom,England,Edinburgh,Edinburgh Innovations The King's Buildings,unknown
Evozyne,evozyne.com,unknown,unknown,unknown,Platforms - protein engineering,"Evozyne develops proteins with functionality based on data-driven molecular engineering. It includes the creation of highly functional proteins, referred to as natural machines, which are designed to address challenges in therapeutics and sustainability. It develops products for a span of purposes, including industrial, agricultural, biopharmaceuticals, energy, and environmental. The company was founded in 2020 and is based in Chicago, Illinois.",9/28/23,81,Series B,162.83,unknown,unknown,291.81,2020,12/30/24,Alive / Active,unknown,0,North America,United States,Illinois,Chicago,2430 North Halsted Street,unknown
Profluent,profluent.bio,unknown,unknown,unknown,Platforms - protein engineering,"Profluent focuses on integrating artificial intelligence with biology and operates in the biotechnology and AI sectors. It develops machine learning models that interpret and manipulate biomolecules for applications in human health and various industries. The company's technology is aimed at advancing protein design to address complex biological challenges. It was founded in 2022 and is based in Berkeley, California.",3/21/24,35,Series A,44,unknown,unknown,131.44,2022,12/30/24,Alive / Active,unknown,0,North America,United States,California,Berkeley,2122 Bryant Street,unknown
Diffuse Bio,diffuse.bio,unknown,unknown,unknown,Platforms - protein engineering,"Diffuse Bio specializes in the development of generative AI for the design of functional proteins within the biotechnology sector. The company's main offerings include foundation and generative models for proteins and the creation of new assays to collect biological data at scale. Diffuse Bio primarily serves the biotechnology and healthcare industries with its innovative protein design and data collection methodologies. It was founded in 2022 and is based in San Francisco, California.",1/1/23,0.5,Convertible Note,0.5,unknown,unknown,0,2022,12/30/24,Alive / Active,unknown,0,North America,United States,California,San Francisco,unknown,unknown
DreamFold,dreamfold.ai,unknown,unknown,unknown,Platforms - protein engineering,"DreamFold specializes in the development of precision medicines using generative machine learning algorithms within the biotechnology and pharmaceutical sectors. The company's main offerings include the discovery of protein-based medicines through innovative 3D generative algorithms and the development of precision drugs that target specific disease mechanisms. DreamFold's solutions are primarily utilized in the healthcare and pharmaceutical industries, focusing on addressing challenging targets such as GPCRs and Ion Channels. It was founded in 2021 and is based in Montreal, Quebec.",7/12/23,0,Incubator/Accelerator,0,unknown,1/1/21,0,2021,12/30/24,Alive / Active,unknown,0,North America,Canada,Quebec,Montreal,6650 Rue Saint Urbain,unknown
Reverie Labs,reverielabs.com,unknown,unknown,unknown,Platforms - molecular design,"Reverie Labs operates as a drug development platform. It uses machine learning techniques to help pharmaceutical companies improve drug design pipelines. It uses machine learning tools to accelerate its drug discovery programs. It was founded in 2017 and is based in Cambridge, Massachusetts.",2/3/21,25,Series A,25.15,unknown,unknown,71.82,2017,12/30/24,Alive / Active,Valence Labs,0,North America,United States,Massachusetts,Cambridge,675 Massachussetts Avenue,unknown
Kuano,kuano.ai,unknown,unknown,unknown,Platforms - molecular design,"Kuano specializes in drug discovery utilizing quantum physics and artificial intelligence within the pharmaceutical industry. The company offers a platform that combines quantum mapping and AI-led chemistry to expedite the development of effective drug candidates, focusing on enzyme inhibitors and overcoming common bottlenecks in the drug design process. Kuano collaborates with pharmaceutical and biotech companies for novel drug discovery projects. Kuano was formerly known as GTN. It was founded in 2020 and is based in Cambridge, United Kingdom.",9/12/23,2.25,Seed VC - III,7.09,unknown,unknown,0,2020,12/30/24,Alive / Active,unknown,0,Europe,United Kingdom,England,Cambridge,"Mill SciTech Park, Mill Lane Hauxton House",unknown
1910 Genetics,1910genetics.com,unknown,unknown,unknown,Platforms - molecular design,"1910 Genetics serves as a biotechnology company that utilizes a multimodal AI platform for drug discovery involving small and large molecules. The company combines computational data with wet lab proxy and ground truth biological data to develop drug candidates and software for pharmaceutical and technology partners, while also supporting its own pipeline for neurological, autoimmune diseases, and cancer. 1910 Genetics serves the pharmaceutical and biotechnology sectors with its AI-driven drug discovery platform. It was founded in 2018 and is based in Cambridge, Massachusetts.",10/31/24,0,Series A - III,36.65,unknown,unknown,0,2018,12/30/24,Alive / Active,unknown,0,North America,United States,Massachusetts,Boston,451 D Street Suite 905,unknown
X-Chem,x-chemrx.com,unknown,unknown,unknown,Platforms - molecular design,"X-Chem specializes in small molecule drug discovery and DNA-encoded library (DEL) technology within the pharmaceutical and biotechnology sectors. The company provides services including DEL screening, medicinal chemistry, and the use of artificial intelligence through its ArtemisAI platform to support the drug discovery process from hit-to-lead to candidate. X-Chem serves pharmaceutical companies and biotechnology firms involved in developing new therapeutics across various disease areas. It was founded in 2010 and is based in Waltham, Massachusetts.",1/5/13,8.5,Unattributed,8.5,unknown,6/3/20,25.83,2010,12/30/24,Alive / Active,unknown,0,North America,United States,Massachusetts,Waltham,100 Beaver Street Suite 101,unknown
Valence,unknown,unknown,unknown,unknown,Platforms - molecular design,unknown,unknown,0,unknown,0,unknown,unknown,0,unknown,12/30/24,Acquired,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown
Variational AI,variational.ai,unknown,unknown,unknown,Platforms - molecular design,"Variational AI is a healthcare company. The company uses artificial intelligence to develop new small-molecule drugs. It was founded in 2019 and is based in Vancouver, Canada.",11/17/21,3.5,Seed VC,3.5,unknown,unknown,0,2019,12/30/24,Alive / Active,"Aqemia, Cradle, Genesis Therapeutics, Insilico Medicine, Biomatter, InstaDeep, Endel, Valence Labs, YDS Pharmatech",0,North America,Canada,British Columbia,Vancouver,577 Great Northern Way #210,unknown
Stonewise,stonewise.cn,unknown,unknown,unknown,Platforms - molecular design,"Stonewise is a technology company focused on the application of artificial intelligence in drug development. The company's main offerings include a drug discovery platform that integrates AI with life sciences fields such as chemistry, biology, and medicine, to create drug products. Stonewise serves the healthcare industry by providing pharmaceutical technologies. It was founded in 2018 and is based in Beijing, Beijing.",4/12/21,100,Series B - II,100,unknown,unknown,0,2018,12/30/24,Alive / Active,MindRank,0,Asia,China,Beijing,Beijing,"Room C08, 3/F, Block B, Yuanzhong Yuelai Building Building 15, Haidian Middle Street, Haidian District",unknown
InstaDeep,instadeep.com,unknown,unknown,unknown,Platforms - molecular design,"InstaDeep specializes in AI-powered decision-making systems for various enterprise sectors. The company offers solutions that utilize GPU-accelerated computing, deep learning, and reinforcement learning to address complex challenges in industries such as biology, logistics, electronic design, and energy. InstaDeep's products and services enhance the capabilities of businesses by providing advanced AI tools and research insights. InstaDeep was formerly known as Digital Ink Group. It was founded in 2014 and is based in London, United Kingdom. InstaDeep operates as a subsidiary of BioNTech.",4/11/23,0,Incubator/Accelerator - VII,113.65,unknown,1/10/23,682.47,2014,12/30/24,Alive / Active,"Aqemia, Cradle, Insilico Medicine, Biomatter, Intelmatix, Cyrus Biotechnology, SyntheticGestalt, Iktos, Endel, Variational AI, Vyasa, Atomwise, Schrodinger, Valence Labs, AminoAnalytica, Isomorphic Laboratories, YDS Pharmatech",0,Europe,United Kingdom,England,London,5 Merchant Square,unknown
SyntheticGestalt,syntheticgestalt.com,unknown,unknown,unknown,Platforms - molecular design,"SyntheticGestalt operates as a company focused on the development of machine learning models and software automation in the life-sciences industry. Their main offerings include solutions for drug discovery and research facilitation, aiming to automate the production of valuable discoveries. The company primarily serves the life-sciences industry. It was founded in 2018 and is based in London, England.",4/6/23,0,Incubator/Accelerator,11,unknown,unknown,0,2018,12/30/24,Alive / Active,Atomwise,0,Europe,United Kingdom,England,London,33a Dean Street,unknown
neoX Biotech,neoxbiotech.com,unknown,unknown,unknown,Platforms - molecular design,"neoX Biotech is a biotech company that integrates artificial intelligence with biophysics to innovate in drug research and development. The company specializes in the discovery and development of macromolecular and multispecific drugs, with a focus on immuno-oncology, leveraging a sophisticated platform for characterizing protein-protein interactions. neoX Biotech collaborates with global biomedical companies to enhance drug R&D pipelines. It was founded in 2018 and is based in Beijing, China.",7/8/21,70,Series A - II,110,unknown,unknown,0,2018,12/30/24,Alive / Active,BigHat Biosciences,0,Asia,China,Beijing,Beijing,"3rd Floor, Building 1, R&D Center No. 20 Life Science park Road, Changping District",unknown
HITS,hits.ai,unknown,unknown,unknown,Platforms - molecular design,"HITS develops an artificial intelligence-based drug development cloud platform that offers early drug discovery, drug candidate design, and drug property prediction. The company serves drug developers. It was founded in 2020 and is based in Seoul, South Korea.",9/9/24,0,Grant,5.66,unknown,unknown,0,2020,12/30/24,Alive / Active,"Insilico Medicine, Schrodinger, NVIDIA",0,Asia,South Korea,unknown,Seoul,"28, Teheran-ro 4-gil 8th Floor, Songmin Building",unknown
Leash Bio,leash.bio,unknown,unknown,unknown,Platforms - molecular design,"Leash Bio focuses on transforming drug design through the use of machine learning and operates within the biotechnology and pharmaceutical sectors. The company offers a platform that generates a vast dataset of protein-molecule interactions, which is used to train machine learning models for the purpose of accelerating drug discovery. It primarily serves the biopharmaceutical industry by providing data-driven insights and tools to aid in the development of new medications. The company was founded in 2021 and is based in Salt Lake City, Utah.",9/17/24,0,Incubator/Accelerator,9.4,unknown,unknown,0,2021,12/30/24,Alive / Active,unknown,0,North America,United States,Utah,Salt Lake City,48 South Rio Grande Street,unknown
OneThree Biotech,onethree.bio,unknown,unknown,unknown,Platforms - molecular design,"OneThree Biotech is a company that focuses on the integration of biology and artificial intelligence in the pharmaceutical industry. The company's main service involves the use of AI-driven discovery platforms to predict novel targets, patient-specific biomarkers, and optimal drug candidates for repurposing towards specific indications. The company primarily serves the biotech and pharmaceutical industries. It was founded in 2018 and is based in New York, New York.",5/1/23,1,Seed,3.8,unknown,unknown,9.98,2018,12/30/24,Alive / Active,unknown,0,North America,United States,New York,New York,2 West Loop Road,unknown
Eleven Therapeutics,eleventx.com,unknown,unknown,unknown,Platforms - molecular design,"Eleven Therapeutics is a biotechnology company that develops RNA therapeutics using synthetic chemistry and artificial intelligence. The company focuses on mRNA therapeutics by using combinatorial chemistry and AI algorithms to design and optimize RNA molecules. It was founded in 2020 and is based in Tel Aviv-Yafo, Israel.",8/2/22,18,Seed VC,22,unknown,unknown,0,2020,12/30/24,Alive / Active,unknown,0,Asia,Israel,unknown,Tel Aviv-Yafo,99 Ben-Yehuda St,unknown
Cloud Pharmaceuticals,cloudpharmaceuticals.com,unknown,unknown,unknown,Platforms - molecular design,"Cloud Pharmaceuticals, formerly TeraDiscoveries, is a leader in the computational design of new drugs and subsequent rapid, information-driven drug development. The company accelerates the drug discovery and design process in a way that delivers tangible results and true value for partners.",2/9/16,0.35,Seed,4.69,unknown,unknown,0,unknown,12/30/24,Alive / Active,"BioMap, XtalPi, Exscientia, Acellera",0,North America,United States,North Carolina,Durham,6 Davis Drive Suite 219,unknown
CIMPLRX,cimplrx.com,unknown,unknown,unknown,Platforms - molecular design,"CIMPLRX focuses on the discovery and development of new drug candidates within the pharmaceutical industry using its proprietary Explainable Artificial Intelligence (XAI) platform. The company's main offerings include an AI-driven platform that generates machine learning models for drug discovery, hit identification, lead optimization, and mechanism of action identification. CIMPLRX's platform is designed to simplify the complex process of drug discovery by providing insights and predictive analytics to enhance decision-making. It was founded in 2017 and is based in South Korea.",11/2/20,4.39,Series A,4.39,unknown,unknown,0,2017,12/30/24,Alive / Active,"DEARGEN, Standigm",0,Asia,South Korea,unknown,unknown,unknown,unknown
ChemPass,chempass.ai,unknown,unknown,unknown,Platforms - molecular design,"ChemPass specializes in artificial intelligence (AI)-assisted drug discovery within the pharmaceutical industry. The company offers services such as AI-assisted lead discovery, medicinal chemistry problem-solving, and universal fragment library design. ChemPass primarily serves the pharmaceutical and biotechnology sectors with its AI technology for lead optimization and design. It was founded in 2016 and is based in Budapest, Hungary.",8/29/18,0.15,Seed,0.46,unknown,unknown,3.04,2016,12/30/24,Alive / Active,unknown,0,Europe,Hungary,unknown,Budapest,7 Zahony Street,unknown
Glamorous AI,glamorous.ai,unknown,unknown,unknown,Platforms - molecular design,"Glamorous AI, also known as X-Chem, specializes in small molecule drug discovery and utilizes DNA-encoded library (DEL) technology. The company provides services including DEL screening, medicinal chemistry, custom synthesis, and the ArtemisAI platform to support the discovery and development of new drug candidates. X-Chem serves the pharmaceutical and biotechnology sectors, offering solutions that use artificial intelligence in the drug discovery process. It was founded in 2020 and is based in London, England. Glamorous AI operates as a subsidiary of X-Chem.",11/18/21,0,Incubator/Accelerator,0.05,unknown,10/28/21,0,2020,12/30/24,Alive / Active,unknown,0,Europe,United Kingdom,England,London,1 Ariel Way,unknown
Isomorphic Laboratories,isomorphiclabs.com,unknown,unknown,unknown,Platforms - molecular design,"Isomorphic Laboratories is a digital biology company that operates in the pharmaceutical and artificial intelligence sectors. The company's main service is to use artificial intelligence, specifically machine learning, to transform and expedite the drug discovery process. The company primarily serves the pharmaceutical industry. It was founded in 2021 and is based in London, United Kingdom. It is a subsidiary of Alphabet, Inc.",unknown,0,unknown,0,unknown,11/7/21,0,2021,12/30/24,Alive / Active,Cradle,0,Europe,United Kingdom,England,London,100 New Bridge Street,unknown
Transcripta Bio,transcriptabio.com,unknown,unknown,unknown,Platforms - molecular design,"Transcripta Bio specializes in drug discovery using artificial intelligence and genomics within the biotechnology sector. The company offers a platform that maps molecular structures and drug actions to the whole cell transcriptome, identifying therapeutic candidates that can treat diseases by rebalancing gene expression. Transcripta Bio's services are utilized by the pharmaceutical and biotech industries to accelerate the path to clinic for new drugs. Transcripta Bio was formerly known as Rarebase. It was founded in 2020 and is based in Palo Alto, California.",4/23/24,10,Series A,10,unknown,unknown,56.69,2020,12/30/24,Alive / Active,unknown,0,North America,United States,California,Palo Alto,1804 Embarcadero Road Suite 201,unknown
Syntekabio,syntekabio.com,unknown,unknown,unknown,Platforms - molecular design,"Syntekabio helps in the development of the biotechnology sector. The company leverages a genomic database and supercomputing system to predict and identify new molecular entities for drug development. Syntekabio collaborates with academic institutions, industrial companies, and government research labs to create transformative medicines. Syntekabio was formerly known as Yoobiori. It was founded in 2009 and is based in Daejeon, South Korea.",6/19/19,16.8,Series C,33.2,unknown,12/17/19,127.93,2009,12/30/24,IPO / Went public,Acellera,53.46,Asia,South Korea,unknown,Daejeon,"1 Expo-ro, Yuseong-gu Room 1903, Expo Tower",unknown
Pharmacelera,pharmacelera.com,unknown,unknown,unknown,Platforms - molecular design,"Pharmacelera is a company that specializes in the development of proprietary Computer-Aided Drug Design (CADD) software and offers computational chemistry services within the pharmaceutical industry. The company's main offerings include software that utilizes advanced quantum mechanics algorithms, machine learning, and high-performance computing to facilitate drug discovery processes. Pharmacelera's technology aids in various drug discovery stages, such as Target Identification, Hit-Identification, Hit-to-Lead, and Lead Optimization, by enabling the exploration of chemical spaces and improving the properties of potential drug compounds. It was founded in 2015 and is based in Barcelona, Spain.",7/14/23,0.67,Loan,0.67,unknown,unknown,0,2015,12/30/24,Alive / Active,"Cresset Group, Schrodinger, OpenEye Scientific",0,Europe,Spain,unknown,Barcelona,"PCB, Torre R, 4a planta, Despatx A05, Parc Científic de Barcelona Carrer de Baldiri Reixac 4-8",unknown
Atommap,atommapper.com,unknown,unknown,unknown,Platforms - molecular design,"Atommap is involved in computation-driven drug discovery within the pharmaceutical industry, utilizing atomic precision molecular design. The company provides a platform that combines physics-based modeling and machine learning to predict protein-ligand binding affinities and other molecular properties, with a focus on the drug discovery process. Atommap serves sectors engaged in drug development and molecular research. It was founded in 2023 and is based in New York, New York.",11/15/23,7.08,Unattributed,7.08,unknown,unknown,0,2023,12/30/24,Alive / Active,unknown,0,North America,United States,New York,New York,1059 3rd Avenue,unknown
